Шаг оригинал	Описание	Перевод шага	Перевод описания	
И я выбираю пункт контекстного меню с именем "%1 ИмяПунктаМеню" на элементе формы "%2 Заголовок поля"	Выбирает нужный пункт контекстного меню у элемента формы	Și am selectat elementul de meniu contextual cu numele "%1 NumeElementMeniu" pe elementul formei "%2 Titlulul Câmpului"	Selectați elementul de meniu contextual necesar din elementul de formular	
И я выбираю пункт контекстного меню с именем "%1 ИмяПунктаМеню" на элементе формы с именем "%2 ЭлементФормы"	Выбирает нужный пункт контекстного меню у элемента формы	Și eu selectez elementul de meniu contextual cu numele "%1 NumeElementMeniu" pe elementul formei cu numele "%2 ElementulFormei"	Selectați elementul de meniu contextual necesar din elementul de formular	
И я выключаю проверку видимости элементов с учётом видимости групп элементов	Выключает проверку видимости элементов с учетом родителя.	Și opresc verificarea vizibilității elementelor luând în considerare vizibilitatea grupurilor de elemente	Dezactivează verificarea vizibilității pentru elementele bazate pe părinte.	
И я выключаю проверку доступности элементов с учётом доступности групп элементов	Выключает проверку доступности элементов с учетом родителя.	Și dezactivez verificarea accesibilității elementelor pe baza disponibilității grupurilor de articole.	Dezactivează verificarea accesibilității elementului pe baza părintelui.	
"И я выполняю код встроенного языка на сервере
 | 'Сообщить(""Hellow world."")' |"	Позволяет выполнить произвольный код на встроенном языке на сервере. Код передаётся через таблицу Gherkin.	"Și am rula codul limbii încorporate pe server
 | 'Mesaj(""Hellow world."")' |"	Vă permite să executați codul arbitrar în limba încorporată de pe server. Codul este transmis prin tabelul Gherkin.	
И я выполняю скрипт SikuliX "%1 ИмяСкрипта"	Выполняет скрипт SikuliX. Скрипт сначала ищется в кталоге проекта, за тем в каталогах библиотек, затем в стандартных скриптах Vanessa-Automation.	Si rulez scriptul SikuliX "%1 NumeScript"	Rulează scriptul SikuliX. Scriptul este căutat mai întâi în directorul de proiect, apoi în cataloagele bibliotecii, apoi în scripturile standard Vanessa-Automation.	
И я делаю "%1 10" раз	Цикл. Выполняет нужные действия указанное число раз. Можно прервать с помощью шага <Тогда я прерываю цикл>	Și eu fac "%1 10" ori	Ciclul. Efectuează acțiunile necesare de câte ori este specificat. Puteți întrerupe cu pasul <Atunci întrerup ciclul>	
И я добавляю информацию в лог "%1 Текст"	Делает запись строки в текстовый лог, который определен в настройке "Лог выполнения сценариев".	Și adaug informațiile în jurnalul "%1 Text"	Scrie un șir într-un jurnal de text, care este definit în setarea "Jurnal de execuție script".	
И я жду доступности элемента "%1 Заголовок элемента" в течение "%2 20" секунд	Ожидание доступности элемента формы с нужным заголовком в течение указанного числа секунд	Și aștept disponibilitatea elementului "%1 Titlul Elementullui" pentru "%2 20" secunde	În așteptarea disponibilității elementului de formular cu titlul dorit pentru numărul de secunde specificat	
И я жду доступности элемента с именем "%1 ИмяЭлемента" в течение "%2 20" секунд	Ожидание доступности элемента формы с нужным именем в течение указанного числа секунд	Și aștept disponibilitatea unui element numit "%1 NumeElement" pentru "%2 20" secunde	În așteptarea disponibilității unui element de formular cu numele dorit pentru numărul de secunde specificat	
И я жду закрытия окна "%1 Заголовок окна" в течение "%2 20" секунд	Ожидает, что окно исчезнет в течение указанного числа секунд. Поиск окна происходит среди всех открытых окон. Поэтому шаг будет ждать пока закроются все окна, удовлетворяющие переданному параметру "Заголовок окна".	Și aștept să se închidă fereastra, "%1 Titlu Fereastra" pentru "%2 20" secunde	Se așteaptă ca fereastra să dispară pentru numărul de secunde specificat. O căutare de ferestre are loc în toate ferestrele deschise. Prin urmare, pasul va aștepta până când toate ferestrele care satisfac parametrul "Titlul ferestrei" sunt închise.	
И я жду картинки "%1 ИмяКартинки" в течение "%2 20" секунд	Ожидает появления картинки на экране в течение нужного числа секунд.	Și aștept imaginea "%1 NumeImagine" pentru "%2 20" secunde	Se așteaptă o imagine pe ecran pentru numărul dorit de secunde.	
И я жду открытия окна "%1 Заголовок окна" в течение "%2 20" секунд	Ожидает, что окно появится в течение указанного числа секунд	Și aștept să se deschidă fereastra, "%1 Titlu Fereastra" pentru "%2 20" secunde	Se așteaptă ca fereastra să apară pentru numărul de secunde specificat.	
И я жду появления элемента "%1 Заголовок элемента" в течение "%2 20" секунд	Ожидание появления (видимости) элемента формы с нужным заголовком в течение указанного числа секунд	Și aștept ca elementul să apară "%1 Titlul Element" pentru "%2 20" secunde	În așteptarea apariției (vizibilității) unui element de formular cu titlul dorit pentru numărul de secunde specificat	
И я жду появления элемента с именем "%1 ИмяЭлемента" в течение "%2 20" секунд	Ожидание появления (видимости) элемента формы с нужным именем в течение указанного числа секунд	Și aștept ca un element cu numele "%1 NumeElement" să apară pentru "%2 20" secunde	Așteptarea aspectului (vizibilității) unui element de formular cu numele dorit pentru numărul de secunde specificat	
И я жду, что в таблице "%1 ИмяТаблицы" количество строк будет "%2 больше" "%3 0" в течение "%4 20" секунд	В течение нужного числа секунд проверяется количество строк в таблице в текущем окне	Și mă aștept ca în tabelul "%1 NumeElement" numărul de rânduri să fie "%2 mai mult" "%3 0" pentru "%4 20" secunde	Pentru numărul de secunde necesar, este bifat numărul de rânduri din tabelul din fereastra curentă.	
И я жду, что в таблице текущее поле будет заполнено в течение "%1 10" секунд.	Проверяет, что текущая ячейка текущей таблицы перестанет быть пустой в течение нужного числа секунд.	Și mă aștept ca câmpul curent din tabel să fie completat pentru "%1 10" secunde.	Verifică faptul că celula curentă din tabelul curent nu mai este goală pentru numărul dorit de secunde.	
И я жду, что в таблице текущее поле будет не заполнено в течение "%1 10" секунд.	Проверяет, что текущая ячейка текущей таблицы станет пустой в течение нужного числа секунд.	Și mă aștept ca câmpul curent din tabel să nu fie completat pentru "%1 10" secunde.	Verifică că celula curentă din tabelul curent devine goală pentru numărul dorit de secunde.	
И я жду, что в табличном документе "%1 ИмяРеквизита" ячейка "%2 АдресЯчейки" станет равна "%3 Значение" в течение "%4 20" секунд	Ожидает в течение нужного числа секунд, что нужная ячейка табличного документа станет равна заданному значению.	Și aștept ca în documentul tabular "%1 NumeAtribul” celula "%2 AdresaCelulei" să devină "%3 Valoare" pentru "%4 20" secunde	Se așteaptă numărul necesar de secunde în care celula dorită din documentul tabel devine egală cu valoarea specificată.	
И я жду, что поле "%1 Заголовок поля" перестанет быть пустым в течение "%2 30" секунд	Проверяет, что в течение нужного числа секунд текстовое поле станет заполненным.	Și aștept ca câmpul "%1 TitluCâmp" va înceta să fie gol în timp de "%2 30" secunde	Verifică faptul că numărul de secunde necesar este completat cu câmpul de text	
И я жду, что поле с именем "%1 ИмяПоля" перестанет быть пустым в течение "%2 30" секунд	Проверяет, что в течение нужного числа секунд текстовое поле станет заполненным.	Și aștept ca câmpul numit "%1 NumeCâmp" va înceta să fie gol în timp de "%2 30" secunde	Verifică apoi în intervalul de secunde necesar câmpul de text va fi umplut.	
"И я жду, что таблица ""%1 ИмяТаблицы"" станет равна данной в течение ""%2 20"" секунд:
 | ИмяКолонки1 | ИмяКолонки2 |
 | Значение1 | Значение2 |"	Проверяет, что таблица TestClient станет равной таблице Gherkin в течение нужного числа секунд	"Și mă aștept ca tabelul ""%1 NumeTabel"" va fi egal cu datele în timp de ""%2 20"":
  | NumeColoana1 | NumeColoana2
  | Valoare1 | Valoare2 |"	Verifică faptul că tabelul TestClient devine egal cu tabelul Gherkin pentru numărul de secunde dorit.	
"И я жду, что таблица ""%1 ИмяТаблицы"" станет содержать строки в течение ""%2 20"" секунд:
 | ИмяКолонки1 | ИмяКолонки2 |
 | Значение1 | Значение2 |"	Проверяет, что таблица TestClient станет содержать в себе строки из переданной таблицы Gherkin в течение нужного числа секунд.	"Și mă aștept ca tabela ""%1 NumeTabel"" să conțină rânduri în timp de ""%2 20"" secunde:
  | NumeColoana1 | NumeColoana2
  | Valoare1 | Valoare2 |"	Verifică dacă tabela TestClient va conține rândurile din tabelul Gherkin transferat pentru numărul de secunde dorit.	
И я жду, что у группы страниц "%1 ГруппаСтраниц" текущей страницей станет "%2 ИмяСтраницы" в течение "%3 20" секунд	Ожидает, что у заданной группы текущей страницей станет нужная группа в течение указанного числа секунд	Și aștept ca grupul de pagini "%1 GrupPagini" să devină pagina curentă "%2 NumePagini" în timp de "%3 20" secunde	Se așteaptă ca grupul specificat să aibă pagina curentă pentru grupul dorit pentru numărul de secunde specificat.	
И я закрываю главное окно TestClient	Закрывает главное окно TestClient. Равносильно нажатию на крестик на главном окне приложения. Обработку диалогов, которые могут возникнуть при закрыти приложения, должен обеспечить сам сценарий.	Și închid fereastra principală TestClient	Închide fereastra principală TestClient. Este echivalent cu clic pe cruce în fereastra principală a aplicației. Dialogurile care pot apărea la închiderea unei aplicații ar trebui să fie gestionate de script-ul însuși.	
"И я заполняю таблицу ""%1 ИмяТаблицы"" данными
 | 'ИмяКолонки1' | 'ИмяКолонки2' |
 | 'Значение1' | 'Значение2' |"	Заполняет указанную таблицу данными, переданными в таблице Gherkin.	"Și umplem tabelul ""%1 NumeTabel"" cu date
  | NumeColoana1 | NumeColoana2|
  | Valoare1 | Valoare2 |"""	Umple masa specificată cu datele transmise în tabelul Gherkin.	
И я запоминаю версию конфигурации "%1 ИмяКонфигурации" как "%2 Версия"	Для типовых конфигураций. Требует наличия прав на открытие регистра сведений "ВерсииПодсистем".	Și memorez versiunea de configurare "%1 NumeConfigurație " ca "%2 Versiune"	Pentru configurații tipice. Necesită drepturi de deschidere a informațiilor din registru "Subsistemul Versiuni".	
"И я запоминаю выделенные строки таблицы ""%1 Таблица1"" как ""%2 ИмяПеременной""
 | 'ИмяКолонки1' |
 | 'ИмяКолонки2' |"	Запоминает значение выделенных строк указанных колонок таблицы в переменную.	"Și îmi amintesc rândurile evidențiate ale tabelului ""%1 Table1"" ca ""%2 NumeVariabil""
  | ""NumeColoana1""|
  | ""NumeColoana2""|"	Stochează valoarea rândurilor selectate din coloanele specificate ale tabelului într-o variabilă.	
И Я запоминаю значение переменной среды '%1 MY_ENV_VAR' в переменную '%2 ЗначениеПеременнойСреды'	Позволяет сохранить переменную среды как переменную контекста.	Si eu rețin valoarea variabilei mediului '%1 MY_ENV_VAR' în variabila '%2 ValoareaVariabileiMudiului'	Permite salvarea unei variabile de mediu ca variabilă de context.	
И я запоминаю значение поля "%1 Заголовок поля" таблицы "%2 ИмяТаблицы" как "%3 ИмяПеременной"	Сохранение значения поля таблицы в переменную Контекст	Si eu rețin valoarea câmpului cu numele "%1 TitlulCâmp" tabelului "%2 NumeTabel" ca "%3 NumeVariabila"	Salvarea valorii unui câmp de tabel la o variabilă Context	
И я запоминаю значение поля с именем "%1 ИмяПоля" как "%2 ИмяПеременной"	Сохранение значения поля в переменную Контекст	Si eu rețin valoarea câmpului cu numele "%1 NumeCâmp" ca "%2 NumeVariabilei"	Salvarea valorii cîmpului în context variabil	
И я запоминаю значение поля с именем "%1 ИмяПоля" как "%2 ИмяПеременной" глобально	Сохранение значения поля в переменную КонтекстСохраняемый	Si eu rețin valoarea câmpului cu numele "%1 NumeCâmp" ca "%2 NumeVariabilei" global	Salvarea valorii câmpului la o variabilă ContextSaved	
И я запоминаю значение поля с именем "%1 ИмяПоля" таблицы "%2 ИмяТаблицы" как "%3 ИмяПеременной"	Сохранение значения поля таблицы в переменную Контекст	Si eu rețin valoarea câmpului cu numele "%1 NumeCâmp" tabelului "%2 NumeTabel" ca "%3 NumeVariabilei"	Salvarea valorii unui câmp de tabel la o variabilă Context	
"И я запоминаю значение таблицы ""%1 Таблица1"" как ""%2 ИмяПеременной""
 | 'ИмяКолонки1' |
 | 'ИмяКолонки2' |"	Запоминает значение указанных колонок таблицы в переменную.	"Si eu rețin valoarea tabelei ""%1 Table1"" ca ""%2 NumeVariabil""
  | ""NumeColoana1""|
  | ""NumeColoana2""|"	Stochează valoarea coloanelor de tabelă specificate într-o variabilă.	
И я запоминаю значение табличного документа "%1 ИмяРеквизита" как "%2 ИмяПеременной"	Сохраняет значение табличного документа в переменную Контекста.	Si eu rețin valoarea documentului tabelar "%1 NumeAtribut" ca "%2 NumeVariabila"	Salvează valoarea unui document tabelar la o variabilă de context.	
И я запоминаю значение текущего поля как "%1 ИмяПеременной"	Запоминает значение активного поля (не таблицы) в переменную	Si eu rețin valoarea domeniului actual ca "%1 NumeVariabila"	Stochează valoarea câmpului activ (nu tabelul) într-o variabilă	
И я запоминаю имя текущего поля как "%1 ИмяПеременной"	Запоминает имя активного поля в переменную	Si eu rețin numele domeniului actual ca "%1 NumeVariabila"	Memorează numele câmpului activ la o variabilă.	
И я запоминаю количество строк таблицы "%1 ИмяТаблицы" как "%2 ИмяПеременной"	Сохранение количества строк таблицы в переменную Контекст	Si eu rețin numărul de rânduri din tabel "%1 NumeTabel" ca "%2 NumeVariabila"	Salvarea numărului de rânduri dintr-un tabel într-o variabilă Context	
И я запоминаю строку "%1 НужнаяСтрока" в переменную "%2 ИмяПеременной"	Запоминает значение строки в переменную.	Si eu completez rîndul cu "%1 NumeRînd" în variabila "%2 NumeVariabila"	Stochează valoarea șirului într-o variabilă.	
И я запускаю SikuliX сервер	Запускает SikuliX сервер.	Și eu pornesc SikuliX server	începe serverul SikuliX.	
И я меняю значение переключателя '%1 Заголовок элемента' на '%2 Значение переключателя' по шаблону	Меняет значение переключателя (радиобаттона). При этом возможно использовать символ * в значении. Работает в 8.3.12 и выше.	Schimb valoarea comutatorului cu numele '%1 Titlul Elementului' pe '%2 Valoarea comutatorului' dupa șablon	Modifică valoarea comutatorului (radiobutton). Este posibil să utilizați simbolul * în valoare. Funcționează în 8.3.12 și mai sus.	
И я меняю значение переключателя с именем '%1 ИмяЭлемента' на '%2 Значение переключателя' по шаблону	Меняет значение переключателя (радиобаттона). При этом возможно использовать символ * в значении. Работает в 8.3.12 и выше.	Și schimba valoarea comutatorului cu numele '%1 NumeElement' pe '%2 Valoarea comutatorului' după șablonul	Modifică valoarea comutatorului (radiobutton). Este posibil să utilizați simbolul * în valoare. Funcționează în 8.3.12 și mai sus.	
И я нажимаю на кнопку открытия поля "%1 Заголовок поля"	Нажимает на кнопку открытия поля ввода.	Și fac clic pe butonul deschiderii câmpului "%1 Titlul Câmp"	Faceți clic pe buton pentru a deschide câmpul de introducere.	
И я нажимаю на кнопку открытия поля с именем "%1 ИмяПоля"	Нажимает на кнопку открытия поля ввода.	Și fac clic pe butonul deschis al câmpului cu nume "%1 NumeCâmp"	Faceți clic pe buton pentru a deschide câmpul de introducere.	
И я нажимаю на кнопку с именем "%1 ИмяКнопки"	Нажимает на кнопку с нужным именем	Și fac clic pe butonul numit "%1 NumeButon"	Apăsați butonul cu numele dorit	
И я нажимаю на кнопку создать поля "%1 Заголовок поля"	Эмулирует нажатие кнопки "Создать" у выпадающего списка.	Și fac clic pe butonul Creare câmpuri "%1 Titlul Câmp"	Imitează clic pe butonul "Creați" dintr-o listă derulantă.	
И я нажимаю на кнопку создать поля с именем "%1 ИмяПоля"	Эмулирует нажатие кнопки "Создать" у выпадающего списка.	Și fac clic pe butonul de creare a câmpurilor cu nume "%1 NumeCâmp"	Imitează clic pe butonul "Creați" dintr-o listă derulantă.	
И я нажимаю на кнопку текущего месяца	Нажимает на кнопку текущего месяца в форме ввода даты.	Și fac clic pe butonul lunii curente	Faceți clic pe butonul din luna curentă în formularul de introducere a datei.	
И я определяю координаты картинки "%1 ИмяКартинки" как "%2 ИмяПеременной"	Определяет коордианты картинки с помощью SikuliX и сохраняет структуру с координатами в переменную	Și eu determin coordonatele imaginii "%1 NumeImagine" ca "%2 NumeVariabila"	Definește coordonatele imaginii cu SikuliX și salvează structura cu coordonatele unei variabile	
И я отменяю фиксирование формы	Снимает фиксирование формы.	Și eu anulezi fixarea formei	Elimină formularul de fixare.	
И я очищаю каталог "%1 ИмяКаталога"	Очищает указанный каталог	Și eu curați catalogul "%1 NumeCatalog"	Șterge directorul specificat.	
И я перехожу к закладке "%1 Вспомогательная"	Шаг делает переход к закладке формы	Și mă întorc la fila "%1 Ajutătoare"	Pasul face trecerea la fila formular	
И я перехожу к закладке с именем "%1 Вспомогательная"	Шаг делает переход к закладке формы	Și mă întorc la fila cu nume "%1 Ajutătoare"	Pasul face trecerea la fila formular	
И я помещаю в буфер обмена строку '%1 Нужная строка'	Помещает строку в буфер обмена.	Și am pus în clipboard un rînd '%1 Rîndul dorit'	Plasează un șir în clipboard.	
И я прикрепляю к сценарию значение таблицы "%1 ИмяТаблицы" как "%2 ИмяЗначения"	Прикрепляет к сценарию указанную таблицу. Параметр "ИмяЗначения" будет использован для имени файла. Прикрепленные данные пойдут в отчет о выполнении сценария.	Și am atașat la scenariu valoarea tabelului "%1 NumeTabel" ca "%2 NumeVariabila"	Atașați tabelul specificat la scenariu. Parametrul "NameName" va fi utilizat pentru numele fișierului. Datele atașate vor fi raportate la executarea scriptului.	
И я создаю каталог "%1 ИмяКаталога"	Создает каталог с указанным именем, если его нет, а также все его подкаталоги.	Și am creez catalog "%1 NumeCatalog"	Creează un director cu numele specificat, dacă nu există, precum și toate subdirectoarele sale.	
И я устанавливаю максимальное время выполнения действия	Устанавливает максимальное время выполнения действий, которые возвращают значение в менеджер тестирования.	Și am setat timpul maxim de execuție pentru acțiune.	Setează timpul maxim de execuție pentru acțiunile care returnează o valoare managerului de testare.	
И я устанавливаю текущему TestClient синоним "%1 МойСиноним"	Позволяет подключить указать дополнительный синоним для текущего профиля TestClient. Синоним может использовать как дополнительное имя сеанса TestClient.	Și am setat curentului TestClient sinonim "%1 SinonimulMeu"	Vă permite să vă conectați pentru a specifica un sinonim suplimentar pentru profilul curent TestClient. Un sinonim poate fi folosit ca un nume de sesiune opțional TestClient.	
И я устанавливаю текущему сеансу заголовок приложения "%1 Управляющий сеанс"	Устанавливает текущему сеансу 1С нужный заголовок приложения.	Și am setat titlul aplicației actuale de sesiune "%1 Gestionarea sesiunii"	Setează titlul aplicației dorite pentru sesiunea 1C dorită.	
И я фиксирую текущую форму	Фиксирует форму, с которой будет работать пользователь. Т.е. поиск элементов будет происходить только в этой форме.	Și eu fixez forma curenta	Fixează formularul cu care utilizatorul va lucra. Ie elementele vor fi căutate numai în această formă.	
И я фиксирую форму "%1 ИмяФормы"	Фиксирует форму, с которой будет работать пользователь. Т.е. поиск элементов будет происходить только в этой форме.	Eu fixez forma "%1 NumeForma"	Fixează formularul cu care utilizatorul va lucra. Ie elementele vor fi căutate numai în această formă.	
И я фиксирую форму с именем "%1 ИмяФормы"	Фиксирует форму, с которой будет работать пользователь. Т.е. поиск элементов будет происходить только в этой форме.	Eu fixez forma cu numele "%1 NumeForma"	Fixează formularul cu care utilizatorul va lucra. Ie elementele vor fi căutate numai în această formă.	
"Когда в логе сообщений TestClient есть сообщения только из списка
 | 'Сообщение1' |
 | 'Сообщение2' |"	Проверяет, что с сообщениях пользователя есть только те сообщения, которые указаны в списке. Порядок сообщений неважен.	"Când în logo mesajului TestClient este mesajul doar din lista                        | 'Mesaj1' |
 | 'Mesaj2' |"	Verifică că există numai mesaje afișate în mesajele utilizatorului. Ordinea mesajelor nu este importantă.	
"Когда в логе сообщений TestClient есть строки:
 | 'Сообщение1' |
 | 'Сообщение2' |"	Проверяет в логе сообщений наличие нужной строки.	"Când în logo mesajului TestClient este linie:                                                 | 'Mesaj1' |
 | 'Mesaj2' |"	Verificările din mesaj înregistrează prezența liniei dorite.	
Когда в логе сообщений TestClient нет строки "%1 Нужное сообщение пользователю"	Проверяет в логе сообщений отсутствие нужной строки.	Când în logo mesajului TestClient nui linie "%1 Mesajul dorit către utilizator"	Verificările din mesajul înregistrează absența liniei dorite.	
Когда Я задаю параметры чтения области макета "%1 R1C1:R100C20"	Указывает область чтения макета, когда он считывается по одной ячейке из данных TestClient	Când setez parametrii citirii zonei machetului "%1 R1C1:R100C20"	Specifică zona de citire a aspectului când se citește o celulă din datele TestClient.	
"Когда Я копирую текущий профиль TestClient с установкой параметров:
 | 'Имя подключения' | 'Синоним' | 'Порт' | 'Строка соединения' | 'Логин' | 'Пароль' | 'Запускаемая обработка' | 'Дополнительные параметры строки запуска' |
 | 'ИмяПрофиля' | 'СинонимПрофиля' | '1538' | 'Srvr=""localhost:1941"";Ref=""Test"";' | 'Админ' | 'Админ' | 'c:\СуперОбработка.epf' | '/UC' |"	Копирует текущий активный профиль TestClient и устанавилвает в копии новые значение параметров. Если профиль с требуемым именем уже есть, то он будет перезаписан, иначе будет создан новый. Все параметры подключения указываются в таблице Gherkin, в которой должно быть две строки: первая строка с именами параметров, вторая строка со значениями параметров.	"Când copiez profilul curent TestClient cu parametrii de setare:                      | 'NumeConectare' | 'Sinonim' | 'Portul' | 'Rîndul conecțiunii' | 'Login' | 'Parola' | 'Începeți procesarea' | 'Opțiuni avansate de linie de pornire' |
 | 'NumeProfil' | 'SinonimProfil' | '1538' | 'Srvr=""localhost:1941"";Ref=""Test"";' | 'Administrator' | 'Administrator' | 'c:\СуперОбработка.epf' | '/UC' |"	Copiază profilul curent TestClient activ și stabilește noile valori ale parametrilor în copie. Dacă există deja un profil cu numele necesar, acesta va fi suprascris, altfel va fi creat un nou. Toți parametrii de conectare sunt specificați în tabelul Gherkin, în care ar trebui să existe două linii: prima linie cu numele parametrilor, a doua linie cu valorile parametrilor.	
"Когда Я подключаю уже запущенный клиент тестирования с параметрами:
 | 'Имя подключения' | 'Синоним' | 'Порт' | 'Строка соединения' | 'Логин' | 'Пароль' | 'Запускаемая обработка' | 'Дополнительные параметры строки запуска' |
 | 'ИмяПрофиля' | 'СинонимПрофиля' | '1538' | 'Srvr=""localhost:1941"";Ref=""Test"";' | 'Админ' | 'Админ' | 'c:\СуперОбработка.epf' | '/UC' |"	Подключает запущенный ранее клиент тестирования, который мог быть запущен из другой программы. Если сеанс не найден - выдёт исключение.	"Când conectez un client de testare care rulează deja cu parametrii:              | 'NumeConectare' | 'Sinonim' | 'Portul' | 'Rîndul conecțiunii' | 'Login' | 'Parola' | 'Începeți procesarea' | 'Opțiuni avansate de linie de pornire' |
 | 'NumeProfil' | 'SinonimProfil' | '1538' | 'Srvr=""localhost:1941"";Ref=""Test"";' | 'Administrator' | 'Administrator' | 'c:\СуперОбработка.epf' | '/UC' |"	Conectează un client de test care a funcționat anterior, care ar fi putut fi lansat dintr-un alt program. Dacă sesiunea nu este găsită, va fi aruncată o excepție.	
Тогда в окне сообщений пользователю нет сообщений	Проверяет, что в окне сообщений пользователю нет сообщений.	Atunci nu există mesaje în fereastra mesajului.	Verifică faptul că în fereastra de mesaje nu există mesaje către utilizator.	
Тогда значение поля "%1 Заголовок поля" не содержит текст "%2 Подстрока"	Проверка, что значение поля формы содержит текст	Atunci valoarea câmpului "%1 Titlul Câmp" nu contine textul "%2 Subșir"	Verificați dacă valoarea câmpului de formular conține text	
Тогда значение поля "%1 Заголовок поля" содержит текст "%2 Значение поля"	Проверка, что значение поля формы содержит текст	Atunci valoarea cîmpului "%1 Titlul Câmp" contine textul "%2 Valoare Câmp"	Verificați dacă valoarea câmpului de formular conține text	
Тогда значение поля с именем "%1 ИмяПоля" не содержит текст "%2 Подстрока"	Проверка, что значение поля формы содержит текст	Atunci valoarea câmpului "%1 NumeCâmp" nu conține textul "%2 Subșir"	Verificați dacă valoarea câmpului de formular conține text	
Тогда значение поля с именем "%1 ИмяПоля" содержит текст "%2 Значение поля"	Проверка, что значение поля формы содержит текст	Atunci valoarea cîmpului numit "%1 NumeCâmp" contine textul "%2 Valoare Câmp"	Verificați dacă valoarea câmpului de formular conține text	
"Тогда область ""%1 R1C1:R10C10"" табличного документа ""%2 РеквизитТабличныйДокумент"" равна по шаблону:
 | Значение1 | Значение2 |
 | Значение3 | Значение4 |"	Проверяет равенство области табличного документа переданной таблице Gherkin. В значениях допускается использовать символы *. Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	"Atunci zona ""%1 R1C1:R10C10"" documentului tabelar ""%2 AtributDocumentTabelar"" egală dupa șablon:
  |  Valoare1 |  Valoare2 |
  |  Valoare3 |  Valoare4 |"	Verifică dacă suprafața documentului tabel este egală cu tabelul Gherkin transferat. Valorile pot folosi caracterele *. Pentru a obține fișierul mxl de la TestClient, clientul subțire va încerca să salveze documentul foaie de calcul într-un fișier. În clientul Web, acesta va fi întotdeauna citit de celulă. Detalii în ajutor, în secțiunea dedicată comparării unui document tabular cu standardul.	
"Тогда область ""%1 R1C1:R10C10"" табличного документа ""%2 РеквизитТабличныйДокумент"" равна:
 | Значение1 | Значение2 |
 | Значение3 | Значение4 |"	Проверяет равенство области табличного документа переданной таблице Gherkin. Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	"Atunci zona ""%1 R1C1:R10C10"" documentului tabelar ""%2 AtributDocumentTabelar"" egală:
 |  Valoare1 |  Valoare2 |
 |  Valoare3 |  Valoare4 |"	Verifică dacă suprafața documentului tabel este egală cu tabelul Gherkin transferat. Pentru a obține fișierul mxl de la TestClient, clientul subțire va încerca să salveze documentul foaie de calcul într-un fișier. În clientul Web, acesta va fi întotdeauna citit de celulă. Detalii în ajutor, în secțiunea dedicată comparării unui document tabular cu standardul.	
Тогда открылась форма "%1 Справочник.Справочник1.Форма.ФормаЭлемента"	Проверяет, что на экране есть активное окно с нужной формой	Atunci sa deschis forma "%1 Nomenclator.Nomenclator1.Forma.FormaElement"	Verifică dacă ecranul are o fereastră activă cu formularul dorit.	
Тогда открылась форма с именем "%1 Справочник.Справочник1.Форма.ФормаЭлемента"	Проверяет, что на экране есть активное окно с нужной формой	Atunci sa deschis forma cu nume "%1 Nomenclator.Nomenclator1.Forma.FormaElement"	Verifică dacă ecranul are o fereastră activă cu formularul dorit.	
Тогда переменная "%1 ИмяПеременной" имеет значение "%2 ЗначениеПеременной"	Проверяет значение переменной контекста	Atunci variabila "%1 NumeVariabila" are semnificatie "%2 ValoareaVariabilei"	Verifică valoarea unei variabile de context.	
"Тогда табличный документ ""%1 РеквизитТабличныйДокумент"" равен по шаблону:
 | Значение1 | Значение2 |
 | Значение3 | Значение4 |"	Проверяет равенство табличного документа переданной таблице Gherkin. В значениях допускатеся использование символов *. Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	"Atunci documentul tabelar ""%1 AtributDocumentTabelar"" egal după șablon:
 |  Valoare1 |  Valoare2 |
 |  Valoare3 |  Valoare4 |"	Verifică egalitatea documentului tabel cu tabelul Gherkin transferat. Valorile permit utilizarea caracterelor *. Pentru a obține fișierul mxl de la TestClient, clientul subțire va încerca să salveze documentul foaie de calcul într-un fișier. În clientul Web, acesta va fi întotdeauna citit de celulă. Detalii în ajutor, în secțiunea dedicată comparării unui document tabular cu standardul.	
"Тогда табличный документ ""%1 РеквизитТабличныйДокумент"" равен:
 | Значение1 | Значение2 |
 | Значение3 | Значение4 |"	Проверяет равенство табличного документа переданной таблице Gherkin. Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	"Atunci documentul tabelar ""%1 AtributDocumentTabelar"" egal:
 |  Valoare1 |  Valoare2 |
 |  Valoare3 |  Valoare4 |"	Verifică egalitatea documentului tabel cu tabelul Gherkin transferat. Pentru a obține fișierul mxl de la TestClient, clientul subțire va încerca să salveze documentul foaie de calcul într-un fișier. În clientul Web, acesta va fi întotdeauna citit de celulă. Detalii în ajutor, în secțiunea dedicată comparării unui document tabular cu standardul.	
