Шаг оригинал	Описание	Перевод шага	Перевод описания
И выражение внутреннего языка "%1 Контекст.КоличествоФинальное - Контекст.КоличествоНачальное = 1" Истинно	Позволяет проверить произвольное выражение встроенного языка	Và biểu thức của ngôn ngữ nội bộ "%1 NgữCảnh.SốLượngCuối - Ngữ Cảnh.SốLượngBanĐầu = 1" Đúng	Cho phép kiểm tra biểu thức tùy ý của ngôn ngữ hệ thống
И для каждого значения "%1 ЗначениеИзМассива" из массива "%2 МассивЗначенийЧерезТочкуСЗапятой"	Перебирает массив значений. Первый параметр - это имя переменной, которое будет доступно в Контексте. Второй параметр, значения массива, разделенные символом ";"	Và đối với mỗi giá trị "%1 GiáTrịTrongMảng" từ mảng "%2 MảngGiáTrịQuaĐiểmCóDấuPhẩy"	Phân loại mảng giá trị. Tham số đầu tiên - đây là tên biến mà sẽ được dùng trong Ngữ cảnh. Tham số thứ hai, giá trị mảng mà được chia tách bởi ký tự ";"
И для каждого значения "%1 ЗначениеИзМассива" из таблицы в памяти "%2 МассивЗначенийЧерезТочкуСЗапятой"	"Перебирает значение из указанной переменной. Первый параметр - это имя переменной, которое будет доступно в Контексте. Второй параметр, имя таблицы, которая сохранена в контексте.
Если в переданной таблице одна колонка - тогда она интерпретируется как массив. Иначе - как таблица, где в первой строке указаны имена колонок. По мере перебора строк таблицы будут обновляться значения в переменной Контекст. Имена переменных равны именам колонок. Имя колонки должно соответствовать правилам образования ключей структуры."	Và đối với mỗi giá trị "%1 GiáTrịTrongMảng" từ bảng trong bộ nhớ "%2 MảngGiáTrịQuaĐiểmCóDấuPhẩy"	Phân loại giá trị từ biến đã chỉ ra. Tham số đầu tiên - đây là tên biến mà sẽ được dùng trong Ngữ cảnh. Tham số thứ hai, tên bảng mà được lưu trong ngữ cảnh. Nếu trong bảng đã truyền, một cột - khi đó nó được diễn giải như mảng. Hay nói cách khác là như bảng mà trong dòng đầu tiên đã chỉ ra tên cột. Theo mức độ phân loại các dòng của bảng, sẽ cập nhật  giá trị vào biến Ngữ cảnh. Tên biến bằng với tên cột. Tên cột cần phải tương ứng với quy tắc tạo các khóa cấu trúc.
И для каждого файла "%1 ТекФайл" из каталога "%2 C:\Temp\Video"	Делает перебор файлов в каталоге, исключая подкаталоги.	Và đối với mỗi tệp "%1 NộiDungTệp" từ thư mục "%2 C:\Temp\Video"	Phân loại tệp trong thư mục, loại trừ thư mục con.
И для каждой строки таблицы "%1 ИмяТаблицы" я выполняю	Цикл. Выполняет шаги для каждой строки таблицы	Và đối với mỗi dòng của bảng "%1 TênBảng" tôi đang thực hiện	Chu trình. Thực hiện các bước đối với mỗi dòng của bảng
И для каждой строки таблицы отбора я устанавливаю отбор в списке	Шаг выставляет отбор в форме списка, когда уже открыта форма отбора.	Và đối với mỗi dòng của bảng lọc, tôi thiết lập lọc trong danh sách	Bước này đưa ra bộ lọc trong biểu mẫu danh sách mà khi đó đã mở biểu mẫu bộ lọc.
И для каждой строки таблицы отбора я устанавливаю отбор в списке если это возможно	Шаг выставляет отбор в форме списка, когда уже открыта форма отбора. Не вызывает исключение, если нет такого фильтра в списке.	Và đối với mỗi dòng của bảng lọc, tôi thiết lập lọc trong danh sách nếu điều này là có thể	Bước này đưa ra bộ lọc trong biểu mẫu danh sách mà khi đó đã mở biểu mẫu bộ lọc. Không đưa ra trường hợp ngoại lệ, nếu không có bộ lọc như vậy trong danh sách.
"И затем я выполняю код встроенного языка
	| 'Сообщить(""Hellow world."")' |"	Позволяет выполнить произвольный код на встроенном языке. Код передаётся через таблицу Gherkin.	"Và sau đó, tôi thực hiện mã ngôn ngữ hệ thống
| 'Thông báo(""Hellow world."")' |"	Cho phép thực hiện mã tùy ý bằng ngôn ngữ hệ thống. Mã được truyền qua bảng Gherkin.
И значения табличных документов равны	Шаг на вход принимает таблицу, к которой указаны имена переменных Контекста ранее полученных макетов.	Và giá trị của văn bản dạng bảng bằng	Bước đăng nhập nhận bảng mà đối với bảng đã chỉ ra tên biến Ngữ cảnh của khuôn in đã nhận trước đó.
И из выпадающего списка "%1 ИмяПоля" я выбираю по строке "%2 ЧастьСтроки"	Выбор из выпадающего списка. Значение будет выбрано через ввод по строке. Допускается вводить строку не целиком.	Và từ danh sách sổ xuống "%1 TênTrường" tôi chọn theo dòng "%2 PhầnDòng"	Chọn lựa từ danh sách sổ xuống. Giá trị sẽ được chọn qua việc nhập theo dòng. Cho phép nhập dòng không phải toàn bộ.
И из выпадающего списка "%1 ИмяПоля" я выбираю точное значение "%2 ЗначениеПоля"	Выбор из выпадающего списка. Переданное значение должно в точности совпадать с тем, что видит пользователь при выборе из списка.	Và từ danh sách sổ xuống "%1 TênTrường" tôi chọn giá trị chính xác "%2 GiáTrịTrường"	Chọn lựa từ danh sách sổ xuống. Giá trị đã truyền cần phải khớp chính xác với những gì mà người sử dụng đã nhìn thấy khi chọn từ danh sách.
И из выпадающего списка с именем "%1 ИмяПоля" я выбираю по строке "%2 ЧастьСтроки"	Выбор из выпадающего списка. Значение будет выбрано через ввод по строке. Допускается вводить строку не целиком.	Và từ danh sách sổ xuống có tên gọi "%1 TênTrường" tôi chọn theo dòng "%2 PhầnDòng"	Chọn lựa từ danh sách sổ xuống. Giá trị sẽ được chọn qua việc nhập theo dòng. Cho phép nhập dòng không phải toàn bộ.
И из выпадающего списка с именем "%1 ИмяПоля" я выбираю точное значение "%2 ЗначениеПоля"	Выбор из выпадающего списка. Переданное значение должно в точности совпадать с тем, что видит пользователь при выборе из списка.	Và từ danh sách sổ xuống có tên gọi "%1 TênTrường" tôi chọn giá trị chính xác "%2 GiáTrịTrường"	Chọn lựa từ danh sách sổ xuống. Giá trị đã truyền cần phải khớp chính xác với những gì mà người sử dụng đã nhìn thấy khi chọn từ danh sách.
И количество строк таблицы "%1 ИмяТаблицы" равно переменной "%2 ИмяПеременной"	Сравнение количество строк таблицы с переменной Контекста	Và số lượng dòng của bảng "%1 TênBảng" bằng biến "%2 TênBiến"	So sánh số lượng dòng của bảng với biến Ngữ cảnh
И область "%1 R1C1:R10C10" табличного документа "%2 РеквизитТабличныйДокумент" равна макету "%3 ИмяМакета"	Сравнивает значения указанной области макета с эталоном. Макет ищется сначала в обработке фича файла, затем в каталоге проекта.  Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	Và vùng "%1 R1C1:R10C10" của văn bản dạng bảng "%2 MụcTinVănBảnDạngBảng" bằng khuôn in "%3 TênKhuônIn"	So sánh giá trị vùng khuôn in đã chỉ ra với mẫu chuẩn. Đầu tiên, tìm khuôn in trong bộ xử lý tệp tính năng, sau đó trong thư mục dự án. Để nhập tệp mxl từ TestClient, trong Client mỏng sẽ thử lưu văn bản dạng bảng vào tệp. Trên Web Client sẽ luôn đọc tệp theo các ô. Chi tiết trong trợ giúp, trong phần dành để so sánh văn bản dạng bảng với mẫu chuẩn.
И область "%1 R1C1:R10C10" табличного документа "%2 РеквизитТабличныйДокумент" равна макету "%3 ИмяМакета" по шаблону	Сравнивает значения указанной области макета с эталоном. В значениях допусается использовать символы *. Макет ищется сначала в обработке фича файла, затем в каталоге проекта.  Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	Và vùng "%1 R1C1:R10C10" của văn bản dạng bảng "%2 MụcTinVănBảnDạngBảng" bằng khuôn in "%3 TênKhuônIn" theo khuôn in	So sánh giá trị vùng khuôn in đã chỉ ra với mẫu chuẩn. Trong các giá trị, cho phép sử dụng ký tự *. Đầu tiên, tìm kiếm khuôn in trong bộ xử lý tệp tính năng, sau đó trong thư mục dự án. Để nhập tệp mxl từ TestClient, trong Client mỏng sẽ thử lưu văn bản dạng bảng vào tệp. Trên Web Client sẽ luôn đọc tệp theo các ô. Chi tiết trong trợ giúp, trong phần dành để so sánh văn bản dạng bảng với mẫu chuẩn.
И обратите внимание "%1 Текст обратите внимание"	Выводит в автовидеоинструкцию нужный текст в виде вставки. Белые буквы на черном фоне.	Và chú ý "%1 Nội dung chú ý"	Đưa vào bản hướng dẫn tự động Video nội dung cần thiết dưới dạng chèn. Chữ cái màu trắng trên nền đen.
И Пока в таблице "%1 ИмяТаблицы" количество строк "%2 >" "%3 0" Тогда	Цикл. Выполняет шаги до тех пор, пока в таблице есть строки	Và Trong khi đó trong bảng "%1 Tên Bảng"	Chu trình. Thực hiện các bước cho đến khi trong bảng có các dòng
И Пока выражение встроенного языка "%1 Контекст.СлужебнаяПеременная < 2" истинно тогда	Цикл. Выполняет шаги пока истинно условие	Và Trong khi đó, biểu thức của ngôn ngữ lồng trong "%1 Ngữ cảnh.BiếnHệThống < 2" đúng là khi đó	Chu trình. Thực hiện các bước với điều kiện đúng
И поле "%1 Имя поля" заполнено	Проверяет заполненность поля формы	Và đã điền trường "%1 Tên trường"	Kiểm tra việc điền trường của biểu mẫu
И поле "%1 Имя поля" не существует	Проверка не существования поля	Và không tồn tại trường "%1 Tên trường"	Kiểm tra việc không tồn tại của trường
И поле "%1 Имя поля" существует	Проверка существования поля	Và tồn tại trường "%1 Tên trường"	Kiểm tra việc tồn tại của trường
И поле "%1 ИмяПоля" равно переменной "%2 ИмяПеременной"	Сравнение значения поля с переменной Контекста	Và trường "%1 TênTrường" bằng biến "%2 TênBiến"	So sánh giá trị trường với biến Ngữ cảnh
И поле с именем "%1 ИмяПоля" заполнено	Проверяет заполненность поля формы	Và đã điền trường có tên gọi "%1 Tên trường"	Kiểm tra việc điền trường của biểu mẫu
И поле с именем "%1 ИмяПоля" имеет заголовок "%2 Заголовок"	Проверка, что у поля нужный заголовок. Поле ищется по внутреннему идентификатору.	Và trường có tên gọi "%1 TênTrường" có tiêu đề "%2 Tiêu đề"	Kiểm tra, trong trường có tiêu đề cần thiết. Tìm kiếm trường theo tên (ID) nội bộ.
И поле с именем "%1 ИмяПоля" не существует	Проверка не существования поля	Và không tồn tại trường có tên gọi "%1 Tên trường"	Kiểm tra việc không tồn tại của trường
И поле с именем "%1 ИмяПоля" равно переменной "%2 ИмяПеременной"	Сравнение значения поля с переменной Контекста	Và trường có tên gọi "%1 TênTrường" bằng biến "%2 TênBiến"	So sánh giá trị trường với biến Ngữ cảnh
И поле с именем "%1 ИмяПоля" существует	Проверка существования поля	Và tồn tại trường có tên gọi "%1 Tên trường"	Kiểm tra việc tồn tại của trường
И поле таблицы "%1 ИмяТаблицы" "%2 ИмяПоля" равно переменной "%3 ИмяПеременной"	Сравнение значения поля с переменной Контекста	Và trường bảng "%1 TênBảng" "%2 TênTrường" bằng biến "%3 TênBiến"	So sánh giá trị trường với biến Ngữ cảnh
И представление элемента "%1 ИмяЭлемента" стало равно "%2 ПредставлениеЭлемента"	Проверяет представление элемента формы. Работает, начиная с 8.3.12.	Và trình bày phần tử "%1 TênPhầnTử" trở nên bằng "%2 TrìnhBàyPhầnTử"	Kiểm tra trình bày phần tử biểu mẫu. Làm việc, bắt đầu từ 8.3.12.
И представление элемента с именем "%1 ИмяЭлемента" стало равно "%2 ПредставлениеЭлемента"	Проверяет представление элемента формы. Работает, начиная с 8.3.12.	Và trình bày phần tử có tên gọi "%1 TênPhầnTử" trở nên bằng "%2 TrìnhBàyPhầnTử"	Kiểm tra trình bày phần tử biểu mẫu. Làm việc, bắt đầu từ 8.3.12.
"И таблица ""%1 ИмяТаблицы"" не содержит строки:
	| ИмяКолонки1 | ИмяКолонки2 |
	| Значение1 | Значение2 |"	Проверяет, что в таблице TestClient нет строк, указанных в таблице Gherkin.	"Và bảng ""%1 TênBảng"" không chứa dòng:
 | TênCột1 | TênCột2 |
 | GiáTrị1 | GiáTrị2 |"	Kiểm tra, trong bảng TestClient không có dòng mà đã chỉ ra trong bảng Gherkin.
И таблица "%1 ИмяТаблицы" не содержит строки из макета "%2 ИмяМакета"	Проверяет, что таблица TestClient содержит строки таблицы из макета. Т.е. если в таблице в TestClient 10 строк, то в шаге можно проверять наличие, например, только 3 строк. Также строки указанные в макете могут идти в любом порядке.	Và bảng "%1 TênBảng" không chứa dòng từ khuôn in "%2 TênKhuônIn"	Kiểm tra, bảng TestClient có các dòng của bảng từ khuôn in. Có nghĩa là, nếu trong bảng trong TestClient có 10 dòng thì trong bước này có thể kiểm tra sự có mặt, ví dụ chỉ 3 dòng. Ngoài ra, có thể thực thi các dòng đã chỉ ra trong khuôn in theo trình tự bất kỳ.
И таблица "%1 ИмяТаблицы" равна макету "%2 ИмяМакета"	Проверяет, что таблица TestClient стала равна переданному макету	Và bảng "%1 TênBảng" bằng khuôn in "%2 TênKhuônIn"	Kiểm tra, bảng TestClient đã bằng với khuôn in đã truyền
И таблица "%1 ИмяТаблицы" равна макету "%2 ИмяМакета" по шаблону	Проверяет, что таблица TestClient стала равна переданному макету. В ячейках макета можно использовать символы *	Và bảng "%1 TênBảng" bằng khuôn in "%2 TênKhuônIn" theo khuôn in	Kiểm tra, bảng TestClient đã bằng với khuôn in đã truyền. Trong các ô của khuôn in, có thể sử dụng ký tự *
И таблица "%1 ИмяТаблицы" содержит строки из макета "%2 ИмяМакета"	Проверяет, что таблица TestClient содержит строки таблицы из макета. Т.е. если в таблице в TestClient 10 строк, то в шаге можно проверять наличие, например, только 3 строк. Также строки указанные в макете могут идти в любом порядке.	Và bảng "%1 TênBảng" có dòng từ khuôn in "%2 TênKhuônIn"	Kiểm tra, bảng TestClient có các dòng của bảng từ khuôn in. Có nghĩa là, nếu trong bảng trong TestClient có 10 dòng thì trong bước này có thể kiểm tra sự có mặt, ví dụ chỉ 3 dòng. Ngoài ra, có thể thực thi các dòng đã chỉ ra trong khuôn in theo trình tự bất kỳ.
"И таблица ""%1 ИмяТаблицы"" содержит строки:
	| ИмяКолонки1 | ИмяКолонки2 |
	| Значение1 | Значение2 |"	Проверяет, что таблица TestClient содержит строки таблицы Gherkin. Т.е. если в таблице в TestClient 10 строк, то в шаге можно проверять наличие, например, только 3 строк. Также строки указанные в шаге могут идти в любом порядке.	"Và bảng ""%1 TênBảng"" có dòng:
| TênCột1 | TênCột2 |
| GiáTrị1 | GiáTrị2 |"	Kiểm tra, bảng TestClient có các dòng của bảng Gherkin. Có nghĩa là, nếu trong bảng trong TestClient có 10 dòng thì trong bước này có thể kiểm tra sự có mặt, ví dụ chỉ 3 dòng. Ngoài ra, có thể thực thi các dòng đã chỉ ra trong khuôn in theo trình tự bất kỳ.
"И таблица ""%1 ИмяТаблицы"" стала равной по шаблону:
	| ИмяКолонки1 | ИмяКолонки2 |
	| Значение1 | Значение2 |"	Проверяет, что таблица TestClient стала равна таблице Gherkin. Значения могут содержать один или несколько символов *.	"Và bảng ""%1 TênBảng"" đã bằng theo khuôn in:
| TênCột1 | TênCột2 |
| GiáTrị1 | GiáTrị2 |"	Kiểm tra, bảng TestClient đã bằng bảng Gherkin. Giá trị có thể có một hoặc nhiều ký tự *.
"И таблица ""%1 ИмяТаблицы"" стала равной:
	| ИмяКолонки1 | ИмяКолонки2 |
	| Значение1 | Значение2 |"	Проверяет, что таблица TestClient стала равна таблице Gherkin	"Và bảng ""%1 TênBảng"" đã bằng:
| TênCột1 | TênCột2 |
| GiáTrị1 | GiáTrị2 |"	Kiểm tra, bảng TestClient đã bằng bảng Gherkin
"И Табличный документ ""%1 ИмяТабДок"" содержит значения областей
| ИмяОбласти | ЗначениеОбласти |"	Проверяет что в табличном документа содержатся значения, перечисленные в таблице. Таблица состоит из двух колонок: "ИмяОбласти" и "ЗначениеОбласти".	"Và Văn bản dạng bảng ""%1 TênVănBảnDạngBảng"" có giá trị vùng
| TênVùng | GiáTrịVùng |"	Kiểm tra, trong văn bản dạng bảng có các giá trị đã liệt kê trong bảng. Bảng có 2 cột: "TênVùng" và "GiáTrịVùng".
"И Табличный документ ""%1 ИмяТабДок"" содержит строки в областях
| ИмяОбласти | Подстрока |"	Проверяет что в табличном документа содержатся значения, перечисленные в таблице. Таблица состоит из двух колонок: "ИмяОбласти" и "Подстрока".	"Và Văn bản dạng bảng ""%1 TênVănBảnDạngBảng"" có dòng trong các vùng
| TênVùng | GiáTrịVùng |"	Kiểm tra, trong văn bản dạng bảng có các giá trị đã liệt kê trong bảng. Bảng có 2 cột: "TênVùng" và "ChỉDẫn".
"И табличный документ ""%1 РеквизитТабличныйДокумент"" не содержит значения:
	| Значение1 |
	| Значение2 |"	Проверяет, что в табличном документе нет значений из таблицы	"Và văn bản dạng bảng ""%1 MụcTinVănBảnDạngBảng"" không có giá trị:
| GiáTrị1 |
| GiáTrị2 |"	Kiểm tra, trong văn bản dạng bảng không có giá trị từ bảng
"И Табличный документ ""%1 РеквизитТабличныйДокумент"" содержит значения областей по шаблону
| ИмяОбласти | ШаблонОбласти |"	Проверяет что в табличном документа содержатся значения, перечисленные в таблице. Таблица состоит из двух колонок: "ИмяОбласти" и "ШаблонОбласти". В шаблоне можно указывать символ * много раз.	"Và văn bản dạng bảng ""%1 MụcTinVănBảnDạngBảng"" có giá trị của vùng theo khuôn in
| TênVùng | KhuônInVùng |"	Kiểm tra, trong văn bản dạng bảng có các giá trị đã liệt kê trong bảng. Bảng có 2 cột: "TênVùng" và "KhuônInVùng". Trong khuôn in, có thể chỉ ra ký tự * nhiều lần.
"И табличный документ ""%1 РеквизитТабличныйДокумент"" содержит значения:
	| Значение1 |
	| Значение2 |"	Проверяет, что в табличном документе есть значения из таблицы	"Và văn bản dạng bảng ""%1 MụcTinVănBảnDạngBảng"" có giá trị:
| GiáTrị1 |
| GiáTrị2 |"	Kiểm tra, trong văn bản dạng bảng có giá trị từ bảng
"И табличный документ формы с именем ""%1 РеквизитТабличныйДокумент"" содержит строки:
	| Значение1 | Значение2 |
	| Значение3 | Значение4 |"	Проверяет, что табличный документ TestClient содержит строки таблицы Gherkin	"Và văn bản dạng bảng của biểu mẫu với tên gọi ""%1 MụcTinVănBảnDạngBảng"" có dòng:
| GiáTrị1 | GiáTrị2 |
| GiáTrị3 | GiáTrị4 |"	Kiểm tra, văn bản dạng bảng TestClient có các dòng của bảng Gherkin
И табличный документ формы с именем "%1 РеквизитТабличныйДокумент" стал пустым	Проверяет, что табличный документ пустой	Và văn bản dạng bảng của biểu mẫu với tên gọi "%1 MụcTinVănBảnDạngBảng" trở nên trống	Kiểm tra, văn bản dạng bảng trống
И у группы страниц "%1 ГруппаСтраниц" текущая страница "%2 ИмяСтраницы"	Проверяет что у заданной группы текущей страницей является указанная	Và trong nhóm các trang "%1 NhómTrang", trang hiện tại "%2 TênTrang"	Kiểm tra, trong nhóm đã xác định,trang hiện tại là trang đã chỉ ra
И у поля календаря "%1 ИмяПоля" я выбираю дату	Делает выбор даты, которая установлена в календаре	Và trong trường lịch biểu "%1 TênTrường" tôi chọn ngày	Tạo lựa chọn ngày mà đã thiết lập trong lịch
И у поля календаря с именем "%1 ИмяПоля" я выбираю дату	Делает выбор даты, которая установлена в календаре	Và trong trường lịch biểu có tên gọi "%1 TênTrường" tôi chọn ngày	Tạo lựa chọn ngày mà đã thiết lập trong lịch
И у поля с именем "%1 ИмяПоля" текст подсказки равен "%2 Заголовок"	Проверка, что у поля нужный текст подсказки. Поле ищется по внутреннему идентификатору.	Và trong trường có tên gọi "%1 TênTrường", nội dung chỉ dẫn bằng "%2 Tiêu đề"	Kiểm tra, trong trường có nội dung chỉ dẫn cần thiết. Tìm kiếm trường theo tên (ID) nội bộ.
И у элемента "%1 Имя элемента" я жду значения "%2 Значение"	Ожидание что элемент формы примет нужное значение (таймаут 10)	Và trong phần tử "%1 Tên phần tử", tôi đợi giá trị "%2 Giá trị"	Đợi, phần tử biểu mẫu sẽ nhận giá trị cần thiết (thời gian chờ 10)
И у элемента "%1 Имя элемента" я жду значения "%2 Значение" в течение "%3 20" секунд	Ожидание что элемент формы примет нужное значение в течение нужного времени. Иначе будет вызвано исключение.	Và trong phần tử "%1 Tên phần tử", tôi đợi giá trị "%2 Giá trị" trong vòng "%3 20" giây	Đợi, phần tử biểu mẫu sẽ nhận giá trị cần thiết trong khoảng thời gian cần thiết. Hay nói cách khác, sẽ gọi ra trường hợp ngoại lệ.
И у элемента с именем "%1 ИмяЭлемента" я жду значения "%2 Значение"	Ожидание что элемент формы примет нужное значение (таймаут 10)	Và trong phần tử với tên gọi "%1 TênPhầnTử" tôi đợi giá trị "%2 GiáTrị"	Đợi, phần tử biểu mẫu sẽ nhận giá trị cần thiết (thời gian chờ 10)
И у элемента с именем "%1 ИмяЭлемента" я жду значения "%2 Значение" в течение "%3 20" секунд	Ожидание что элемент формы примет нужное значение в течение нужного времени. Иначе будет вызвано исключение.	Và trong phần tử với tên gọi "%1 TênPhầnTử" tôi đợi giá trị "%2 GiáTrị" trong vòng "%3 20" giây	Đợi, phần tử biểu mẫu sẽ nhận giá trị cần thiết trong khoảng thời gian cần thiết. Hay nói cách khác, sẽ gọi ra trường hợp ngoại lệ.
И у элемента формы с именем "%1 ИмяПоля" текст редактирования стал равен "%2 ТекстПоля"	Проверка значения текста редактирования элемента формы	Và trong phần tử của biểu mẫu với tên gọi "%1 TênTrường" nội dung soạn đã bằng "%2 NộiDungTrường"	Kiểm tra giá trị nội dung soạn biểu mẫu của phần tử
И элемент "%1 Имя элемента" доступен только для просмотра	Проверка флага "Только просмотр"	Và phần tử "%1 Tên phần tử" được dùng chỉ để xem	Kiểm tra hộp kiểm "Chỉ xem"
И элемент "%1 ИмяПоля" доступен не только для просмотра	Проверка флага "Только просмотр"	Và phần tử "%1 TênTrường" được dùng không chỉ để xem	Kiểm tra hộp kiểm "Chỉ xem"
И элемент с именем "%1 ИмяПоля" доступен не только для просмотра	Проверка флага "Только просмотр"	Và phần tử có tên gọi "%1 TênTrường" được dùng không chỉ để xem	Kiểm tra hộp kiểm "Chỉ xem"
И элемент с именем "%1 ИмяЭлемента" доступен только для просмотра	Проверка флага "Только просмотр"	Và phần tử có tên gọi "%1 TênPhầnTử" được dùng chỉ để xem	Kiểm tra hộp kiểm "Chỉ xem"
И элемент формы "%1 Имя поля" отсутствует на форме	Проверка невидимости поля. Поле может не существовать.	Và phần tử biểu mẫu "%1 Tên trường" không có trên biểu mẫu	Kiểm tra tính không hiện hình của trường. Có thể không tồn tại trường.
И элемент формы "%1 Имя поля" присутствует на форме	Проверка видимости поля. Поле обязано существовать.	Và phần tử biểu mẫu "%1 Tên trường" có trên biểu mẫu	Kiểm tra tính hiện hình của trường. Bắt buộc tồn tại trường.
И элемент формы с именем "%1 ИмяПоля" отсутствует на форме	Проверка невидимости поля. Поле может не существовать.	Và phần tử biểu mẫu có tên gọi "%1 TênTrường" không có trên biểu mẫu	Kiểm tra tính không hiện hình của trường. Có thể không tồn tại trường.
И элемент формы с именем "%1 ИмяПоля" присутствует на форме	Проверка видимости поля. Поле обязано существовать.	Và phần tử biểu mẫu có tên gọi "%1 TênTrường" có trên biểu mẫu	Kiểm tra tính hiện hình của trường. Bắt buộc tồn tại trường.
И я активизирую TestClient "%1 ИмяПрофиляTestClient"	Позволяет переключить контекст на нужный TestClient. Поиск TestClient в таблице подключений просиходит по имени или синониму.	Và tôi kích hoạt TestClient "%1 TênHồSơTestClient"	Cho phép chuyển ngữ cảnh sang TestClient cần thiết. Tìm kiếm TestClient trong bảng kết nối theo tên hoặc sự đồng nghĩa.
И я активизирую окно "%1 ИмяОкна"	Активизирует окно с нужным заголовком	Và tôi kích hoạt cửa sổ "%1 TênCửaSổ"	Kích hoạt cửa sổ với tiêu đề cần thiết
И я активизирую поле "%1 Имя поля"	Сделать поле активным	Và tôi kích hoạt trường "%1 Tên trường"	Làm cho trường hiện hoạt
И я активизирую поле с именем "%1 ИмяПоля"	Сделать поле активным	Và tôi kích hoạt trường với tên gọi "%1 TênTrường"	Làm cho trường hiện hoạt
И я буду выбирать внешний файл "%1 ИмяФайла"	Устанавливает результат диалога выбора файла. Допустимо указать директиву $КаталогПроекта$, чтобы подставить в часть пути путь к каталогу проекта.	Và tôi sẽ chọn tệp ngoài "%1 TênTệp"	Thiết lập kết quả của hộp thoại chọn tệp. Cho phép chỉ ra định hướng $ThưMụcDựÁn$, để đưa đường dẫn đến thư mục dự án vào phần đường dẫn.
И я выбираю значение реквизита "%1 ИмяПоля" из формы списка	Нажимает на кнопку "Выбрать из списка" у поля	Và tôi chọn giá trị mục tin "%1 TênTrường" từ biểu mẫu danh sách	Nhấn nút "Chọn từ danh sách" trong trường
И я выбираю значение реквизита с именем "%1 ИмяПоля" из формы списка	Нажимает на кнопку "Выбрать из списка" у поля	Và tôi chọn giá trị mục tin có tên gọi "%1 TênTrường" từ biểu mẫu danh sách	Nhấn nút "Chọn từ danh sách" trong trường
И я выбираю из списка "%1 Значение"	Выбирает значение из списка, который привязан к форме. Такой список может появиться, если происходит перехват стандартных событий формы, и пользователю показывается другой список для выбора значения.	Và tôi chọn từ danh sách "%1 Giá trị"	Chọn giá trị từ danh sách mà được gán vào biểu mẫu. Có thể xuất hiện danh sách như vậy, nếu có chặn các sự kiện tiêu chuẩn của biểu mẫu và chỉ ra danh sách khác cho người sử dụng để chọn giá trị.
И я выбираю пункт контекстного меню "%1 ИмяПунктаМеню" на элементе формы "%2 ЭлементФормы"	Выбирает нужный пункт контекстного меню у элемента формы	Và tôi chọn mục của menu nóng "%1 TênMụcCủaMenu" trên phần tử của biểu mẫu "%2 PhầnTửBiểuMẫu"	Chọn mục cần thiết của menu nóng trong phần tử biểu mẫu
И я выбираю пункт контекстного меню "%1 ИмяПунктаМеню" на элементе формы с именем "%2 ЭлементФормы"	Выбирает нужный пункт контекстного меню у элемента формы	Và tôi chọn mục của menu nóng "%1 TênMụcCủaMenu" trên phần tử của biểu mẫu có tên gọi "%2 PhầnTửBiểuMẫu"	Chọn mục cần thiết của menu nóng trong phần tử biểu mẫu
И я выбираю пункт контекстного меню с именем "%1 ИмяПунктаМеню" на элементе формы "%2 ЭлементФормы"	Выбирает нужный пункт контекстного меню у элемента формы	Và tôi chọn mục của menu nóng có tên gọi "%1 TênMụcCủaMenu" trên phần tử của biểu mẫu "%2 PhầnTửBiểuMẫu"	Chọn mục cần thiết của menu nóng trong phần tử biểu mẫu
И я выбираю пункт контекстного меню с именем "%1 ИмяПунктаМеню" на элементе формы с именем "%2 ЭлементФормы"	Выбирает нужный пункт контекстного меню у элемента формы	Và tôi chọn mục của menu nóng có tên gọi "%1 TênMụcCủaMenu" trên phần tử của biểu mẫu có tên gọi "%2 PhầnTửBiểuMẫu"	Chọn mục cần thiết của menu nóng trong phần tử biểu mẫu
И я вывожу значение переменной "%1 ИмяПеременной"	Выводит значение переменной контекста в окно сообщений	Và tôi đưa ra giá trị biến "%1 TênBiến"	Đưa giá trị biến ngữ cảnh vào cửa sổ thông báo
И я делаю "%1 10" раз	Цикл. Выполняет нужные действия указанное число раз. Можно прервать с помощью шага <Тогда я прерываю цикл>	Và tôi làm "%1 10" lần	Chu trình. Thực hiện các thao tác với số lần đã chỉ ra. Có thể ngắt bằng bước <Khi đó tôi ngắt chu trình>
И я жду доступности элемента "%1 Имя элемента" в течение "%2 20" секунд	Ожидание доступности элемента формы с нужным заголовком в течение указанного числа секунд	Và tôi đợi tính khả dụng của phần tử "%1 Tên phần tử" trong vòng "%2 20" giây	Đợi tính khả dụng của phần tử biểu mẫu với tiêu đề cần thiết với số giây đã chỉ ra
И я жду доступности элемента с именем "%1 ИмяЭлемента" в течение "%2 20" секунд	Ожидание доступности элемента формы с нужным именем в течение указанного числа секунд	Và tôi đợi tính khả dụng của phần tử với tên gọi "%1 Tên phần tử" trong vòng "%2 20" giây	Đợi tính khả dụng của phần tử biểu mẫu với tên gọi cần thiết với số giây đã chỉ ra
